date,temp_max,precip_mm
2024-06-01,26.1,0.0
2024-06-02,26.6,0.0
2024-06-03,29.5,0.0
2024-06-04,30.3,0.0
2024-06-05,30.0,0.3
2024-06-06,27.1,13.2
2024-06-07,22.6,4.2
2024-06-08,21.2,3.6
2024-06-09,19.3,4.4
2024-06-10,18.1,3.5
2024-06-11,19.0,0.0
2024-06-12,21.1,0.4
2024-06-13,27.0,17.8
2024-06-14,23.7,10.7
2024-06-15,19.6,0.0
2024-06-16,22.1,0.0
2024-06-17,28.9,0.3
2024-06-18,31.5,0.3
2024-06-19,33.9,0.0
2024-06-20,32.3,0.8
2024-06-21,25.6,0.0
2024-06-22,23.8,1.5
2024-06-23,25.5,34.3
2024-06-24,22.5,7.2
2024-06-25,27.7,0.0
2024-06-26,26.6,2.8
2024-06-27,20.1,5.5
2024-06-28,22.0,0.0
2024-06-29,21.5,20.3
2024-06-30,25.7,5.3
2024-07-01,25.4,0.0
2024-07-02,27.5,0.0
2024-07-03,28.2,0.1
2024-07-04,28.3,1.1
2024-07-05,27.5,1.0
2024-07-06,27.0,9.7
2024-07-07,27.3,0.7
2024-07-08,28.3,0.1
2024-07-09,29.0,0.0
2024-07-10,25.5,41.3
2024-07-11,24.0,6.0
2024-07-12,27.0,0.3
2024-07-13,27.5,0.4
2024-07-14,29.0,0.0
2024-07-15,29.8,2.2
2024-07-16,28.3,7.0
2024-07-17,26.4,0.5
2024-07-18,23.0,1.3
2024-07-19,25.6,0.2
2024-07-20,26.8,1.0
2024-07-21,24.0,0.2
2024-07-22,26.6,0.0
2024-07-23,25.8,5.6
2024-07-24,27.5,14.8
2024-07-25,22.6,2.4
2024-07-26,26.7,0.1
2024-07-27,28.0,0.0
2024-07-28,28.3,0.0
2024-07-29,29.6,0.1
2024-07-30,30.3,0.2
2024-07-31,27.6,26.3
2024-08-01,29.6,1.3
2024-08-02,30.9,0.0
2024-08-03,29.7,2.1
2024-08-04,28.8,9.3
2024-08-05,22.3,1.6
2024-08-06,23.1,0.0
2024-08-07,24.2,0.0
2024-08-08,26.0,0.7
2024-08-09,21.7,98.5
2024-08-10,24.6,0.0
2024-08-11,23.0,1.5
2024-08-12,22.6,1.7
2024-08-13,27.4,0.3
2024-08-14,28.2,0.2
2024-08-15,27.6,3.9
2024-08-16,28.3,0.2
2024-08-17,26.3,4.8
2024-08-18,25.0,1.4
2024-08-19,21.3,11.6
2024-08-20,17.0,7.8
2024-08-21,15.4,11.5
2024-08-22,19.4,7.9
2024-08-23,23.9,0.0
2024-08-24,25.1,0.0
2024-08-25,25.4,4.6
2024-08-26,26.2,0.1
2024-08-27,28.3,0.0
2024-08-28,22.3,7.4
2024-08-29,21.2,0.0
2024-08-30,24.5,0.0
2024-08-31,21.7,26.8
