date,temp_max,temp_mean,precip_mm
2025-05-01,15.8,9.0,0.1
2025-05-02,21.5,14.7,16.8
2025-05-03,14.7,11.4,0.6
2025-05-04,18.5,13.2,0.0
2025-05-05,22.3,14.7,0.0
2025-05-06,21.2,16.5,5.1
2025-05-07,19.7,15.8,5.8
2025-05-08,10.4,9.1,0.0
2025-05-09,8.2,7.3,11.9
2025-05-10,17.0,11.3,1.3
2025-05-11,15.8,9.9,0.0
2025-05-12,19.9,14.1,1.1
2025-05-13,24.6,17.1,0.0
2025-05-14,25.4,19.5,0.0
2025-05-15,25.4,20.8,1.2
2025-05-16,28.5,20.8,1.7
2025-05-17,22.8,18.2,10.8
2025-05-18,16.6,13.3,12.7
2025-05-19,10.0,8.4,8.7
2025-05-20,13.1,9.3,0.5
2025-05-21,16.7,12.1,2.4
2025-05-22,12.1,10.3,2.7
2025-05-23,10.7,8.8,6.9
2025-05-24,10.5,8.4,6.1
2025-05-25,17.7,11.8,2.0
2025-05-26,21.1,14.5,1.4
2025-05-27,24.0,17.7,0.0
2025-05-28,26.0,19.5,0.0
2025-05-29,19.0,16.9,2.7
2025-05-30,21.5,17.3,0.0
2025-05-31,16.3,13.7,13.7
2025-06-01,13.3,10.6,2.2
2025-06-02,18.9,14.0,0.2
2025-06-03,25.1,17.5,0.0
2025-06-04,30.3,22.6,0.0
2025-06-05,26.3,23.0,0.3
2025-06-06,25.8,20.6,0.0
2025-06-07,25.5,20.8,0.0
2025-06-08,25.9,19.9,0.0
2025-06-09,21.6,19.4,1.5
2025-06-10,23.1,19.2,7.1
2025-06-11,23.2,19.3,0.0
2025-06-12,21.5,18.1,0.9
2025-06-13,20.0,15.0,0.0
2025-06-14,22.7,17.1,0.0
2025-06-15,25.8,19.3,0.0
2025-06-16,27.4,21.8,0.0
2025-06-17,26.2,22.1,0.8
2025-06-18,29.6,24.2,1.3
2025-06-19,28.0,23.4,18.7
2025-06-20,23.6,20.0,5.6
2025-06-21,26.3,20.8,0.0
2025-06-22,29.4,24.7,17.8
2025-06-23,34.7,27.6,0.1
2025-06-24,33.9,29.5,0.2
2025-06-25,30.0,25.5,0.0
2025-06-26,22.6,19.2,0.0
2025-06-27,26.2,20.4,2.6
2025-06-28,26.4,19.5,27.7
2025-06-29,23.4,20.6,0.3
2025-06-30,28.9,23.5,0.0
2025-07-01,26.5,23.3,12.7
2025-07-02,27.6,23.4,0.1
2025-07-03,22.7,20.3,12.6
2025-07-04,23.6,19.0,0.0
2025-07-05,25.2,21.0,0.0
2025-07-06,31.6,25.5,2.6
2025-07-07,24.2,20.3,15.2
2025-07-08,24.9,20.4,0.1
2025-07-09,27.4,22.8,0.0
2025-07-10,28.1,23.3,5.1
2025-07-11,29.1,24.3,0.3
2025-07-12,31.6,26.4,0.1
2025-07-13,30.8,25.6,20.5
2025-07-14,28.6,24.9,2.1
2025-07-15,29.8,25.3,0.0
2025-07-16,33.4,27.7,0.0
2025-07-17,29.9,25.3,16.6
2025-07-18,24.2,20.2,0.0
2025-07-19,26.2,21.8,0.0
2025-07-20,25.0,21.5,1.4
2025-07-21,21.7,18.3,0.0
2025-07-22,23.1,18.4,0.0
2025-07-23,26.5,21.5,0.0
2025-07-24,33.3,26.8,0.0
2025-07-25,29.4,25.1,5.5
2025-07-26,30.7,24.7,0.0
2025-07-27,28.5,24.5,1.6
2025-07-28,30.7,25.9,0.0
2025-07-29,29.6,25.6,0.3
2025-07-30,26.8,23.6,2.3
2025-07-31,23.0,19.6,0.0
2025-08-01,23.3,18.9,0.0
2025-08-02,26.4,21.0,0.0
2025-08-03,29.2,23.6,0.0
2025-08-04,25.8,22.3,0.5
2025-08-05,25.7,20.6,0.0
2025-08-06,29.2,22.6,0.0
2025-08-07,30.8,24.0,0.0
2025-08-08,31.3,25.5,0.1
2025-08-09,31.7,26.3,0.0
2025-08-10,34.0,28.4,0.4
2025-08-11,34.5,29.1,0.0
2025-08-12,34.8,29.3,0.0
2025-08-13,29.0,26.6,5.3
2025-08-14,28.0,23.7,0.0
2025-08-15,27.7,22.0,0.0
2025-08-16,30.6,24.1,0.0
2025-08-17,24.2,19.7,4.3
2025-08-18,20.6,16.3,0.0
2025-08-19,22.9,17.9,0.0
2025-08-20,24.3,19.4,0.2
2025-08-21,26.8,20.8,0.0
2025-08-22,28.7,22.7,0.0
2025-08-23,30.6,24.8,0.4
2025-08-24,25.1,20.8,11.9
2025-08-25,24.7,20.8,0.2
2025-08-26,20.6,17.9,0.0
2025-08-27,22.1,17.3,0.0
2025-08-28,22.9,17.4,5.5
2025-08-29,19.1,15.9,18.9
2025-08-30,17.5,14.2,5.2
2025-08-31,22.8,17.5,0.0
2025-09-01,25.2,19.5,0.0
2025-09-02,24.5,20.1,0.2
2025-09-03,25.6,19.9,0.0
2025-09-04,26.1,20.1,15.3
2025-09-05,23.7,18.2,2.4
2025-09-06,18.9,15.5,6.7
2025-09-07,18.7,15.1,1.3
2025-09-08,18.0,14.5,0.2
2025-09-09,20.1,14.9,0.0
2025-09-10,21.8,16.6,0.0
2025-09-11,22.3,17.3,0.0
2025-09-12,20.0,15.0,0.0
2025-09-13,21.9,16.9,0.0
2025-09-14,23.4,18.4,0.0
2025-09-15,22.2,16.8,0.0
2025-09-16,24.5,17.6,0.0
2025-09-17,24.7,18.5,0.0
2025-09-18,25.2,19.8,0.0
2025-09-19,19.9,16.0,0.0
2025-09-20,16.2,12.0,0.0
2025-09-21,21.9,14.3,0.0
2025-09-22,22.6,17.6,3.6
2025-09-23,22.4,18.2,2.4
2025-09-24,22.0,17.3,0.0
2025-09-25,20.5,17.6,7.4
2025-09-26,21.3,17.7,0.2
2025-09-27,19.9,15.4,0.0
2025-09-28,22.3,18.6,0.0
2025-09-29,22.3,17.6,0.0
2025-09-30,17.0,14.8,0.0
2025-10-01,15.9,11.1,0.0
2025-10-02,17.5,10.9,0.0
2025-10-03,21.7,14.4,0.0
2025-10-04,24.2,18.4,0.0
2025-10-05,29.8,21.0,0.0
2025-10-06,28.8,21.0,0.0
2025-10-07,24.0,19.2,11.2
2025-10-08,15.2,12.9,1.9
2025-10-09,12.3,7.6,0.0
2025-10-10,13.9,8.1,0.0
2025-10-11,18.3,11.5,0.0
2025-10-12,19.9,12.6,0.0
2025-10-13,15.9,11.8,0.0
2025-10-14,15.8,12.5,0.0
2025-10-15,12.9,10.2,0.0
2025-10-16,13.1,7.8,0.0
2025-10-17,12.5,7.3,0.0
2025-10-18,14.5,9.5,0.0
2025-10-19,22.0,16.0,0.0
2025-10-20,20.2,16.8,14.9
2025-10-21,13.9,11.5,0.8
2025-10-22,14.0,10.8,6.1
2025-10-23,12.3,9.3,3.4
2025-10-24,9.9,7.4,0.1
2025-10-25,9.2,6.7,0.0
2025-10-26,9.5,6.8,0.0
2025-10-27,10.4,6.8,0.0
2025-10-28,11.7,7.0,0.0
2025-10-29,11.5,6.1,0.0
2025-10-30,7.8,5.2,12.6
2025-10-31,9.2,8.0,37.6
