date,temp_max,temp_min,temp_mean,precip_mm
2025-04-13,14.7,1.1,7.6,0.0
2025-04-14,16.4,0.2,8.8,0.0
2025-04-15,14.0,5.0,9.5,1.1
2025-04-16,4.6,0.9,2.6,2.5
2025-04-17,8.7,-1.2,3.4,0.0
2025-04-18,13.9,0.1,7.5,0.1
2025-04-19,21.3,8.1,14.4,16.3
2025-04-20,11.7,0.9,5.9,0.1
2025-04-21,14.4,-0.4,6.8,6.3
2025-04-22,12.4,7.6,9.8,2.0
2025-04-23,12.5,4.3,8.4,0.0
2025-04-24,18.5,1.9,10.0,0.6
2025-04-25,17.3,4.4,11.0,0.1
2025-04-26,12.2,7.1,9.6,9.6
2025-04-27,14.4,2.2,7.6,12.4
2025-04-28,19.6,5.2,13.0,0.0
2025-04-29,24.3,9.0,16.5,10.7
2025-04-30,18.1,1.5,7.3,0.0
2025-05-01,15.8,1.6,9.0,0.1
2025-05-02,21.5,9.4,14.7,16.8
2025-05-03,14.7,8.8,11.4,0.6
2025-05-04,18.5,8.3,13.2,0.0
2025-05-05,22.3,7.4,14.7,0.0
2025-05-06,21.2,12.3,16.5,5.1
2025-05-07,19.7,10.8,15.8,5.8
2025-05-08,10.4,7.6,9.1,0.0
2025-05-09,8.2,6.4,7.3,11.9
2025-05-10,17.0,7.2,11.3,1.3
2025-05-11,15.8,4.4,9.9,0.0
2025-05-12,19.9,8.5,14.1,1.1
2025-05-13,24.6,8.8,17.1,0.0
2025-05-14,25.4,12.4,19.5,0.0
2025-05-15,25.4,15.8,20.8,1.2
2025-05-16,28.5,15.4,20.8,1.7
2025-05-17,22.8,15.2,18.2,10.8
2025-05-18,16.6,8.2,13.3,12.7
2025-05-19,10.0,6.9,8.4,8.7
2025-05-20,13.1,6.9,9.3,0.5
2025-05-21,16.7,8.4,12.1,2.4
2025-05-22,12.1,8.6,10.3,2.7
2025-05-23,10.7,7.8,8.8,6.9
2025-05-24,10.5,6.9,8.4,6.1
2025-05-25,17.7,6.9,11.8,2.0
2025-05-26,21.1,7.3,14.5,1.4
2025-05-27,24.0,11.5,17.7,0.0
2025-05-28,26.0,12.0,19.5,0.0
2025-05-29,19.0,14.2,16.9,2.7
2025-05-30,21.5,14.2,17.3,0.0
2025-05-31,16.3,10.4,13.7,13.7
2025-06-01,13.3,8.9,10.6,2.2
2025-06-02,18.9,9.9,14.0,0.2
2025-06-03,25.1,10.1,17.5,0.0
2025-06-04,30.3,14.3,22.6,0.0
2025-06-05,26.3,19.4,23.0,0.3
2025-06-06,25.8,14.6,20.6,0.0
2025-06-07,25.5,17.2,20.8,0.0
2025-06-08,25.9,13.3,19.9,0.0
2025-06-09,21.6,17.6,19.4,1.5
2025-06-10,23.1,16.5,19.2,7.1
2025-06-11,23.2,15.0,19.3,0.0
2025-06-12,21.5,13.2,18.1,0.9
2025-06-13,20.0,10.2,15.0,0.0
2025-06-14,22.7,10.6,17.1,0.0
2025-06-15,25.8,11.0,19.3,0.0
2025-06-16,27.4,15.0,21.8,0.0
2025-06-17,26.2,17.8,22.1,0.8
2025-06-18,29.6,19.0,24.2,1.3
2025-06-19,28.0,20.2,23.4,18.7
2025-06-20,23.6,15.9,20.0,5.6
2025-06-21,26.3,14.5,20.8,0.0
2025-06-22,29.4,20.1,24.7,17.8
